epoch,step,train_loss,val_loss
0,62,,0.21386532485485077
0,62,0.4343400299549103,
1,125,,0.13279420137405396
1,125,0.15713931620121002,
2,188,,0.09284739196300507
2,188,0.1200595274567604,
3,251,,0.08451005816459656
3,251,0.10125863552093506,
4,314,,0.08055724203586578
4,314,0.08408934623003006,
5,377,,0.06074525788426399
5,377,0.08050119876861572,
6,440,,0.05467481538653374
6,440,0.06943362206220627,
7,503,,0.050059977918863297
7,503,0.0632859393954277,
8,566,,0.06470204144716263
8,566,0.06512660533189774,
9,629,,0.0534847155213356
9,629,0.06026566028594971,
10,692,,0.0643494576215744
10,692,0.05509013682603836,
11,755,,0.05972500890493393
11,755,0.048728492110967636,
12,818,,0.047347817569971085
12,818,0.04745544493198395,
13,881,,0.043134044855833054
13,881,0.05291590467095375,
14,944,,0.04761777073144913
14,944,0.049516189843416214,
15,1007,,0.04365776479244232
15,1007,0.05014416575431824,
16,1070,,0.043711934238672256
16,1070,0.04836570471525192,
17,1133,,0.03967069834470749
17,1133,0.04237267002463341,
18,1196,,0.03313993662595749
18,1196,0.03800247982144356,
19,1259,,0.04362943768501282
19,1259,0.03849267214536667,
20,1322,,0.03754749149084091
20,1322,0.03976930305361748,
21,1385,,0.025981467217206955
21,1385,0.03657938539981842,
22,1448,,0.02844257280230522
22,1448,0.03826846182346344,
23,1511,,0.025707485154271126
23,1511,0.03745625168085098,
24,1574,,0.03196132555603981
24,1574,0.03644857555627823,
25,1637,,0.029822593554854393
25,1637,0.03684747964143753,
26,1700,,0.03219286724925041
26,1700,0.035227805376052856,
27,1763,,0.0346149243414402
27,1763,0.03549199551343918,
28,1826,,0.028431126847863197
28,1826,0.036076970398426056,
29,1889,,0.03437436372041702
29,1889,0.037755466997623444,
30,1952,,0.037861887365579605
30,1952,0.03145141154527664,
31,2015,,0.03017759881913662
31,2015,0.03363308683037758,
32,2078,,0.040709834545850754
32,2078,0.031045757234096527,
33,2141,,0.026426341384649277
33,2141,0.033814575523138046,
34,2204,,0.03168077394366264
34,2204,0.03267331421375275,
35,2267,,0.024851303547620773
35,2267,0.02956501394510269,
36,2330,,0.033180736005306244
36,2330,0.02909667417407036,
37,2393,,0.02793958969414234
37,2393,0.03102458454668522,
38,2456,,0.028561055660247803
38,2456,0.029299501329660416,
39,2519,,0.0332537479698658
39,2519,0.031013034284114838,
40,2582,,0.03126896917819977
40,2582,0.027964629232883453,
41,2645,,0.02290484681725502
41,2645,0.027036800980567932,
42,2708,,0.02392181195318699
42,2708,0.028609393164515495,
43,2771,,0.024717388674616814
43,2771,0.02922702394425869,
44,2834,,0.02509683184325695
44,2834,0.027518048882484436,
45,2897,,0.03206707909703255
45,2897,0.028593577444553375,
46,2960,,0.020884409546852112
46,2960,0.02688770927488804,
47,3023,,0.026642797514796257
47,3023,0.02950579859316349,
48,3086,,0.023279864341020584
48,3086,0.02681678906083107,
49,3149,,0.02623281441628933
49,3149,0.02717585861682892,
50,3212,,0.029071491211652756
50,3212,0.02519872970879078,
51,3275,,0.026512647047638893
51,3275,0.02930360659956932,
52,3338,,0.030345862731337547
52,3338,0.02470472641289234,
53,3401,,0.028265342116355896
53,3401,0.02706090919673443,
54,3464,,0.026902776211500168
54,3464,0.024575669318437576,
55,3527,,0.02426045946776867
55,3527,0.023899344727396965,
56,3590,,0.029580259695649147
56,3590,0.02328767068684101,
57,3653,,0.02679741568863392
57,3653,0.023812608793377876,
58,3716,,0.02683793380856514
58,3716,0.024996193125844002,
59,3779,,0.0204872265458107
59,3779,0.02469625324010849,
60,3842,,0.021028362214565277
60,3842,0.027542125433683395,
61,3905,,0.021744685247540474
61,3905,0.026418514549732208,
62,3968,,0.026686115190386772
62,3968,0.023467320948839188,
63,4031,,0.021031705662608147
63,4031,0.02419944852590561,
64,4094,,0.02393672987818718
64,4094,0.02453004941344261,
65,4157,,0.01976802572607994
65,4157,0.024038570001721382,
66,4220,,0.019003478810191154
66,4220,0.026240317150950432,
67,4283,,0.024604875594377518
67,4283,0.02545628510415554,
68,4346,,0.02293648011982441
68,4346,0.0233668964356184,
69,4409,,0.021999265998601913
69,4409,0.027078265324234962,
70,4472,,0.02130291424691677
70,4472,0.02438214235007763,
71,4535,,0.021998925134539604
71,4535,0.02343647927045822,
72,4598,,0.029296550899744034
72,4598,0.023358555510640144,
73,4661,,0.020960384979844093
73,4661,0.024378877133131027,
74,4724,,0.024330783635377884
74,4724,0.0227267574518919,
75,4787,,0.018893172964453697
75,4787,0.02146170847117901,
76,4850,,0.023290254175662994
76,4850,0.024460773915052414,
77,4913,,0.024649543687701225
77,4913,0.024865230545401573,
78,4976,,0.02110789716243744
78,4976,0.02079416625201702,
79,5039,,0.01601613126695156
79,5039,0.023115234449505806,
80,5102,,0.025809435173869133
80,5102,0.023498743772506714,
81,5165,,0.017769163474440575
81,5165,0.02386752888560295,
82,5228,,0.0214556772261858
82,5228,0.021449601277709007,
83,5291,,0.015013649128377438
83,5291,0.02381826937198639,
84,5354,,0.01933714561164379
84,5354,0.0210795309394598,
85,5417,,0.01941516436636448
85,5417,0.021712813526391983,
86,5480,,0.021681878715753555
86,5480,0.022292034700512886,
87,5543,,0.021386070176959038
87,5543,0.023108968511223793,
88,5606,,0.024069737643003464
88,5606,0.02126242034137249,
89,5669,,0.020047301426529884
89,5669,0.021618535742163658,
90,5732,,0.020122509449720383
90,5732,0.021919293329119682,
91,5795,,0.01921853795647621
91,5795,0.022846069186925888,
92,5858,,0.02429751679301262
92,5858,0.020479291677474976,
93,5921,,0.019760068506002426
93,5921,0.021486423909664154,
94,5984,,0.02200586535036564
94,5984,0.02044004760682583,
95,6047,,0.021353159099817276
95,6047,0.022216491401195526,
96,6110,,0.023041091859340668
96,6110,0.021690281108021736,
97,6173,,0.018691474571824074
97,6173,0.02290038764476776,
98,6236,,0.026651771739125252
98,6236,0.022175302729010582,
99,6299,,0.019297579303383827
99,6299,0.021558839827775955,
100,6362,,0.018596157431602478
100,6362,0.02192494086921215,
101,6425,,0.024980323389172554
101,6425,0.02035108581185341,
102,6488,,0.021840892732143402
102,6488,0.020560450851917267,
103,6551,,0.019810713827610016
103,6551,0.02085362747311592,
104,6614,,0.02039104513823986
104,6614,0.02051280252635479,
105,6677,,0.015387150458991528
105,6677,0.019462913274765015,
106,6740,,0.017782393842935562
106,6740,0.019974330440163612,
107,6803,,0.02011357620358467
107,6803,0.01802697405219078,
108,6866,,0.01769440807402134
108,6866,0.021196188405156136,
109,6929,,0.01857524923980236
109,6929,0.019123470410704613,
110,6992,,0.017312640324234962
110,6992,0.022745059803128242,
111,7055,,0.02149146981537342
111,7055,0.019658850505948067,
112,7118,,0.01967848464846611
112,7118,0.019217893481254578,
113,7181,,0.01582411304116249
113,7181,0.020310264080762863,
114,7244,,0.01840440183877945
114,7244,0.022855857387185097,
115,7307,,0.015130839310586452
115,7307,0.018917802721261978,
116,7370,,0.013014039024710655
116,7370,0.02059323899447918,
117,7433,,0.018139168620109558
117,7433,0.019662851467728615,
118,7496,,0.01746022142469883
118,7496,0.018517756834626198,
119,7559,,0.015851201489567757
119,7559,0.019659360870718956,
120,7622,,0.018207315355539322
120,7622,0.017859192565083504,
121,7685,,0.019674375653266907
121,7685,0.018920887261629105,
122,7748,,0.019251175224781036
122,7748,0.019168080762028694,
123,7811,,0.017392782494425774
123,7811,0.020061377435922623,
124,7874,,0.018690941855311394
124,7874,0.0171229038387537,
125,7937,,0.015481877140700817
125,7937,0.018992053344845772,
126,8000,,0.023005006834864616
126,8000,0.018914084881544113,
127,8063,,0.014151256531476974
127,8063,0.01735755428671837,
128,8126,,0.020519282668828964
128,8126,0.021027574315667152,
129,8189,,0.019204745069146156
129,8189,0.020153546705842018,
130,8252,,0.022767625749111176
130,8252,0.01908726431429386,
131,8315,,0.024556733667850494
131,8315,0.01796117052435875,
132,8378,,0.014351734891533852
132,8378,0.019996730610728264,
133,8441,,0.01878204755485058
133,8441,0.018237905576825142,
134,8504,,0.01595383509993553
134,8504,0.01856554113328457,
135,8567,,0.017366578802466393
135,8567,0.019650906324386597,
136,8630,,0.0177783016115427
136,8630,0.01802953891456127,
137,8693,,0.022107092663645744
137,8693,0.01884942501783371,
138,8756,,0.02029617503285408
138,8756,0.017639467492699623,
139,8819,,0.015285925939679146
139,8819,0.0202031210064888,
140,8882,,0.019083064049482346
140,8882,0.018270239233970642,
141,8945,,0.016144774854183197
141,8945,0.018007440492510796,
142,9008,,0.015101076103746891
142,9008,0.019541919231414795,
143,9071,,0.018391773104667664
143,9071,0.01817985251545906,
144,9134,,0.013813252560794353
144,9134,0.019579745829105377,
145,9197,,0.014497539959847927
