epoch,step,train_loss,val_loss,val_var_ratio
0,62,,0.17498649656772614,0.7984676957130432
0,62,0.4264277517795563,,
1,125,,0.11803130060434341,0.9214302897453308
1,125,0.16345611214637756,,
2,188,,0.1225658729672432,0.9965211749076843
2,188,0.12176692485809326,,
3,251,,0.09898552298545837,0.9026002287864685
3,251,0.11429456621408463,,
4,314,,0.09087274223566055,1.0183672904968262
4,314,0.09484469890594482,,
5,377,,0.07225413620471954,0.9020535945892334
5,377,0.08165508508682251,,
6,440,,0.06786127388477325,1.0907827615737915
6,440,0.07695717364549637,,
7,503,,0.050321031361818314,1.00569486618042
7,503,0.06603014469146729,,
8,566,,0.06718426942825317,1.054753303527832
8,566,0.05786065757274628,,
9,629,,0.07604274153709412,0.9078346490859985
9,629,0.06806078553199768,,
10,692,,0.05695826932787895,1.2038918733596802
10,692,0.05753374844789505,,
11,755,,0.05876585841178894,1.0484544038772583
11,755,0.058256927877664566,,
12,818,,0.03929874673485756,1.312049150466919
12,818,0.05620017275214195,,
13,881,,0.043522223830223083,1.140950083732605
13,881,0.05136856064200401,,
14,944,,0.042184628546237946,1.0919451713562012
14,944,0.04508310556411743,,
15,1007,,0.056225840002298355,1.0588464736938477
15,1007,0.04919709637761116,,
16,1070,,0.04750486835837364,1.1274267435073853
16,1070,0.041236262768507004,,
17,1133,,0.04561689868569374,1.1072009801864624
17,1133,0.04353842884302139,,
18,1196,,0.042070627212524414,1.0942078828811646
18,1196,0.04460791125893593,,
19,1259,,0.04171624779701233,0.9897019863128662
19,1259,0.04137998819351196,,
20,1322,,0.03650553151965141,1.0862514972686768
20,1322,0.041366416960954666,,
21,1385,,0.04781467467546463,1.0346037149429321
21,1385,0.038458701223134995,,
22,1448,,0.029239706695079803,1.0653437376022339
22,1448,0.042945802211761475,,
23,1511,,0.03429263085126877,1.1869779825210571
23,1511,0.04232039302587509,,
24,1574,,0.03839533403515816,1.2065250873565674
24,1574,0.03714428469538689,,
25,1637,,0.038155220448970795,1.1421488523483276
25,1637,0.040083471685647964,,
26,1700,,0.025157533586025238,1.2743529081344604
26,1700,0.03574153408408165,,
27,1763,,0.029948381707072258,1.2908456325531006
27,1763,0.03487829864025116,,
28,1826,,0.03358094394207001,1.1314373016357422
28,1826,0.03506085276603699,,
29,1889,,0.03607149049639702,1.1669280529022217
29,1889,0.03522677719593048,,
30,1952,,0.03664702549576759,1.1102579832077026
30,1952,0.030724629759788513,,
31,2015,,0.032786544412374496,1.1329909563064575
31,2015,0.03450753167271614,,
32,2078,,0.027841828763484955,1.0637351274490356
32,2078,0.03155914321541786,,
33,2141,,0.02614397369325161,1.1264292001724243
33,2141,0.032663244754076004,,
34,2204,,0.03406071290373802,1.1195906400680542
34,2204,0.03247987851500511,,
35,2267,,0.025959182530641556,1.0877859592437744
35,2267,0.033758923411369324,,
36,2330,,0.031238531693816185,1.0545040369033813
36,2330,0.03276816010475159,,
37,2393,,0.0276785995811224,1.0849765539169312
37,2393,0.033412497490644455,,
38,2456,,0.029048703610897064,1.2399846315383911
38,2456,0.030828509479761124,,
39,2519,,0.02909952588379383,1.2094767093658447
39,2519,0.026909487321972847,,
40,2582,,0.02101997286081314,1.2183114290237427
40,2582,0.027125384658575058,,
41,2645,,0.027432110160589218,1.1072157621383667
41,2645,0.029068604111671448,,
42,2708,,0.029122596606612206,1.0622073411941528
42,2708,0.02883084863424301,,
43,2771,,0.03720875084400177,1.1777235269546509
43,2771,0.030799008905887604,,
44,2834,,0.029102114960551262,1.333530306816101
44,2834,0.030238818377256393,,
45,2897,,0.027793528512120247,1.1840829849243164
45,2897,0.030011536553502083,,
46,2960,,0.02224067598581314,1.2517949342727661
46,2960,0.024798769503831863,,
47,3023,,0.037407223135232925,1.2210440635681152
47,3023,0.028280310332775116,,
48,3086,,0.026258613914251328,1.2249070405960083
48,3086,0.024954190477728844,,
49,3149,,0.03076803684234619,1.130435824394226
49,3149,0.027277948334813118,,
50,3212,,0.02716703899204731,0.8406677842140198
50,3212,0.041751280426979065,,
51,3275,,0.023566100746393204,0.816413402557373
51,3275,0.030108921229839325,,
52,3338,,0.025359857827425003,0.8547260761260986
52,3338,0.029889998957514763,,
53,3401,,0.0249920766800642,0.9655407667160034
53,3401,0.03154886141419411,,
54,3464,,0.031159214675426483,0.8216559886932373
54,3464,0.028824450448155403,,
55,3527,,0.022422557696700096,0.8135111927986145
55,3527,0.03043864108622074,,
56,3590,,0.022744545713067055,0.9249461889266968
56,3590,0.03073880262672901,,
57,3653,,0.025187166407704353,0.8719332218170166
57,3653,0.02773057483136654,,
58,3716,,0.022998280823230743,0.8521555066108704
58,3716,0.029830560088157654,,
59,3779,,0.02756766602396965,0.9260014295578003
59,3779,0.03132209926843643,,
60,3842,,0.02749212086200714,0.8119789958000183
60,3842,0.029139293357729912,,
61,3905,,0.029773825779557228,0.6574661731719971
61,3905,0.03117908537387848,,
62,3968,,0.025591500103473663,0.8522782921791077
62,3968,0.027788177132606506,,
63,4031,,0.02006121166050434,0.8626412153244019
63,4031,0.024942008778452873,,
64,4094,,0.021592387929558754,0.8544815182685852
64,4094,0.026135655120015144,,
65,4157,,0.02451617270708084,0.8477845788002014
65,4157,0.02786792628467083,,
66,4220,,0.020730046555399895,0.7680605053901672
66,4220,0.026398010551929474,,
67,4283,,0.022644126787781715,0.8211116194725037
67,4283,0.027120880782604218,,
68,4346,,0.01714077778160572,0.8602272868156433
68,4346,0.027855675667524338,,
69,4409,,0.020509516820311546,0.8779312968254089
69,4409,0.026824720203876495,,
70,4472,,0.024560309946537018,0.8642387986183167
70,4472,0.028750037774443626,,
71,4535,,0.015671733766794205,0.8998069763183594
71,4535,0.026806380599737167,,
72,4598,,0.02227429300546646,0.9635745882987976
72,4598,0.026801979169249535,,
73,4661,,0.021705185994505882,0.870618999004364
73,4661,0.02400505356490612,,
74,4724,,0.02252923510968685,0.760542094707489
74,4724,0.02931017242372036,,
75,4787,,0.021883949637413025,0.8685204386711121
75,4787,0.026441004127264023,,
76,4850,,0.024547670036554337,0.7844483852386475
76,4850,0.02448568493127823,,
77,4913,,0.02271672710776329,0.8294298052787781
77,4913,0.02781151980161667,,
78,4976,,0.02702459879219532,0.8263487815856934
78,4976,0.02688300982117653,,
79,5039,,0.020258160308003426,0.9149706363677979
79,5039,0.025358771905303,,
80,5102,,0.020423023030161858,0.9378485083580017
80,5102,0.023180320858955383,,
81,5165,,0.023882227018475533,0.7280987501144409
81,5165,0.024260414764285088,,
82,5228,,0.020737681537866592,0.8924664855003357
82,5228,0.025943180546164513,,
83,5291,,0.02120894193649292,0.8354819416999817
83,5291,0.02439863607287407,,
84,5354,,0.024033620953559875,0.8942484259605408
84,5354,0.02643556334078312,,
85,5417,,0.02551174722611904,0.911654531955719
85,5417,0.025062251836061478,,
86,5480,,0.02276437357068062,0.986278235912323
86,5480,0.024862004444003105,,
87,5543,,0.018062422052025795,0.7928577661514282
87,5543,0.02488524094223976,,
88,5606,,0.023218143731355667,0.8846866488456726
88,5606,0.02370976284146309,,
89,5669,,0.025706183165311813,0.8369377255439758
89,5669,0.02604542300105095,,
90,5732,,0.022254791110754013,0.8874117136001587
90,5732,0.023731984198093414,,
91,5795,,0.020602380856871605,0.8947564959526062
91,5795,0.025237159803509712,,
92,5858,,0.024721190333366394,0.9314253330230713
92,5858,0.024752357974648476,,
93,5921,,0.021850483492016792,0.8055909872055054
93,5921,0.023164814338088036,,
94,5984,,0.02391551248729229,0.94093918800354
94,5984,0.02589303068816662,,
95,6047,,0.025657452642917633,0.8918429017066956
95,6047,0.02153189480304718,,
96,6110,,0.024356994777917862,0.8242737054824829
96,6110,0.024566389620304108,,
97,6173,,0.025917915627360344,0.980445384979248
97,6173,0.025379426777362823,,
98,6236,,0.019435949623584747,0.9279035925865173
98,6236,0.022405629977583885,,
99,6299,,0.019282590597867966,0.7315734028816223
99,6299,0.022917410358786583,,
100,6362,,0.02059273235499859,0.8891863226890564
100,6362,0.024416521191596985,,
101,6425,,0.019187379628419876,0.8125376105308533
101,6425,0.02470753714442253,,
102,6488,,0.01988382823765278,0.8808046579360962
102,6488,0.02429979294538498,,
103,6551,,0.021246664226055145,0.8969171643257141
103,6551,0.02286325953900814,,
104,6614,,0.02158331125974655,0.8361424803733826
104,6614,0.02317270077764988,,
105,6677,,0.022568978369235992,0.7104513645172119
105,6677,0.023676862940192223,,
106,6740,,0.020927762612700462,0.7714127898216248
106,6740,0.021470647305250168,,
107,6803,,0.01745479926466942,0.9554190039634705
107,6803,0.0212247371673584,,
108,6866,,0.019770825281739235,0.7570458054542542
108,6866,0.02456408180296421,,
109,6929,,0.020335931330919266,0.84079909324646
109,6929,0.02148446813225746,,
110,6992,,0.018529081717133522,0.8114364743232727
110,6992,0.023196296766400337,,
111,7055,,0.021029753610491753,0.9480955004692078
111,7055,0.022605443373322487,,
112,7118,,0.01670275442302227,0.8437740206718445
112,7118,0.022188616916537285,,
113,7181,,0.018229082226753235,0.8251552581787109
113,7181,0.022226408123970032,,
114,7244,,0.01785525120794773,0.8990753293037415
114,7244,0.020866720005869865,,
115,7307,,0.02108856849372387,0.9271681904792786
115,7307,0.022087063640356064,,
116,7370,,0.025487225502729416,0.8869190812110901
116,7370,0.021895067766308784,,
117,7433,,0.02109847031533718,0.8546275496482849
117,7433,0.023013483732938766,,
118,7496,,0.021586496382951736,0.8127292394638062
118,7496,0.02295502834022045,,
119,7559,,0.019431738182902336,1.0398002862930298
119,7559,0.022655721753835678,,
120,7622,,0.0203988216817379,0.8571576476097107
120,7622,0.02184579148888588,,
121,7685,,0.021392084658145905,0.9274166822433472
121,7685,0.022228490561246872,,
122,7748,,0.023029349744319916,0.9226069450378418
122,7748,0.022997526451945305,,
123,7811,,0.017575757578015327,0.9332732558250427
123,7811,0.021635359153151512,,
124,7874,,0.023394238203763962,0.8824162483215332
124,7874,0.020938575267791748,,
125,7937,,0.01627584546804428,0.9702942371368408
125,7937,0.021731846034526825,,
126,8000,,0.021613478660583496,0.7877399921417236
126,8000,0.021726539358496666,,
127,8063,,0.018468283116817474,0.8944251537322998
127,8063,0.02124369703233242,,
128,8126,,0.018023060634732246,0.8516666889190674
128,8126,0.02150849625468254,,
129,8189,,0.016425572335720062,0.8466992378234863
129,8189,0.02035682089626789,,
130,8252,,0.019712910056114197,0.7671257853507996
130,8252,0.020004818215966225,,
131,8315,,0.018176626414060593,0.852729320526123
131,8315,0.021518493071198463,,
132,8378,,0.016312094405293465,0.8558058142662048
132,8378,0.02164185233414173,,
133,8441,,0.018310455605387688,0.9342308640480042
133,8441,0.02101428247988224,,
134,8504,,0.018392547965049744,0.7861406207084656
134,8504,0.01898455247282982,,
135,8567,,0.01635091006755829,0.8680832386016846
135,8567,0.02071111463010311,,
136,8630,,0.018762072548270226,0.9528672099113464
136,8630,0.022388866171240807,,
137,8693,,0.017866099253296852,0.8261731863021851
137,8693,0.01939222402870655,,
138,8756,,0.021829545497894287,0.8313803672790527
138,8756,0.02083875611424446,,
139,8819,,0.01843077503144741,0.9270503520965576
139,8819,0.019225502386689186,,
140,8882,,0.015582994557917118,0.9197127819061279
140,8882,0.020998556166887283,,
141,8945,,0.015541477128863335,0.9847021698951721
141,8945,0.021408867090940475,,
142,9008,,0.0198761485517025,0.8873661160469055
142,9008,0.02152506448328495,,
143,9071,,0.021251091733574867,0.7959001064300537
143,9071,0.020912786945700645,,
144,9134,,0.01928391493856907,0.8816444277763367
144,9134,0.019821740686893463,,
145,9197,,0.022141948342323303,0.7832161784172058
145,9197,0.01986708678305149,,
146,9260,,0.01948588714003563,0.9406646490097046
146,9260,0.018897458910942078,,
147,9323,,0.019444959238171577,0.8690109252929688
147,9323,0.019822828471660614,,
148,9386,,0.017953263595700264,0.8533105254173279
148,9386,0.020080044865608215,,
149,9449,,0.015699882060289383,0.8893070220947266
